dataset,ROI,component_num,mean,sd
train,1,1,1.8953602928889747e-05,1.0562940025190903e-05
train,1,2,1.1845588662262889e-05,6.89601125647799e-06
train,1,3,6.042230898537439e-06,3.115857273079911e-06
train,1,4,2.102309718395574e-06,1.1593810121973813e-06
train,2,1,2.4324090350905986e-05,1.3607232178584808e-05
train,2,2,1.2994118919941206e-05,7.699727379038759e-06
train,2,3,6.090104292145985e-06,3.269377585271518e-06
train,2,4,2.4620134524185194e-06,1.400189878581368e-06
train,3,1,4.428561129222968e-05,1.909256875971781e-05
train,3,2,1.1260718840475782e-05,5.460446614857752e-06
train,3,3,6.568368335157186e-06,3.296254396448207e-06
train,3,4,2.7183267475472265e-06,1.5557452591412552e-06
train,4,1,5.625392113278409e-05,2.3591132383806078e-05
train,4,2,1.4000756416988124e-05,6.7885474570098705e-06
train,4,3,6.795445630500438e-06,3.5120357202183426e-06
train,4,4,3.0838838523094483e-06,1.5096648681368858e-06
test,1,1,1.8355619211531143e-05,9.662242964461435e-06
test,1,2,8.927976141775666e-06,4.27401103531736e-06
test,1,3,5.96086736889814e-06,2.7733041160989973e-06
test,1,4,1.8497737237120198e-06,1.0418668536416479e-06
test,2,1,2.3260091189903567e-05,1.2713468533152453e-05
test,2,2,9.850757485383146e-06,4.984032632236027e-06
test,2,3,6.132158624744148e-06,2.7470395038561855e-06
test,2,4,2.045251151695891e-06,1.1720089073539386e-06
test,3,1,4.108193315508635e-05,1.3799025438918756e-05
test,3,2,9.718143784591275e-06,4.971598524910789e-06
test,3,3,6.326544186556589e-06,2.852347403824387e-06
test,3,4,2.3436183583404846e-06,1.137322547166105e-06
test,4,1,5.22828898952031e-05,1.7225225730583197e-05
test,4,2,1.188004264599621e-05,5.731887389637198e-06
test,4,3,6.567065777424068e-06,2.990556597480842e-06
test,4,4,2.7447467307291853e-06,1.1501854423888427e-06
