,ERN,Pe,dataset
0,-4.188265432098766e-06,2.735547798742138e-05,train
1,-3.915253086419753e-06,1.243402830188679e-05,train
2,-1.794473333333333e-05,4.593509433962264e-06,train
3,3.809618406285073e-07,7.138055460263007e-06,train
4,-2.8323086419753083e-06,8.190481132075473e-06,train
5,2.6157079124579125e-06,1.9809675814751284e-05,train
6,1.3578124999999995e-06,8.427007075471696e-06,train
7,-2.521485596707819e-06,7.188733752620544e-06,train
8,-1.3271799999999999e-05,2.0544956603773583e-05,train
9,-2.7028428428428457e-07,1.963186129525752e-05,train
10,-4.616022792022791e-06,1.639636574746009e-05,train
11,-1.1902243386243384e-05,1.4405538544474391e-05,train
12,-6.297604938271604e-06,2.0817270440251574e-05,train
13,-7.607641975308642e-06,2.2380361635220128e-05,train
14,-2.893788671023965e-06,1.5136960044395114e-05,train
15,-1.7272469135802468e-06,1.862132389937107e-05,train
16,-1.686668312757202e-05,2.1943641509433963e-05,train
17,-1.8380058479532163e-06,2.9758063555114193e-06,train
18,-4.088725490196078e-06,2.191316426193118e-05,train
19,-6.034225925925925e-06,1.7240798113207546e-05,train
20,-3.4946131687242795e-06,1.887646540880503e-05,train
21,-1.3468218106995886e-05,3.0948299790356394e-05,train
22,-7.62552839506173e-06,2.08362641509434e-05,train
23,-7.786296296296297e-07,7.230056603773584e-06,train
24,-1.10931455026455e-05,1.2701586253369273e-05,train
25,-3.103572984749455e-07,8.545992230854605e-06,train
26,-2.2016772486772487e-06,6.0623423180593e-06,train
27,-2.400955555555555e-06,2.174106132075472e-05,train
28,-5.126438271604938e-06,5.419537735849055e-06,train
29,-3.3974409171075837e-06,1.1703027852650494e-05,train
30,6.0954351851851844e-06,2.733240801886792e-05,train
31,-3.836496296296297e-06,1.5469273584905656e-05,train
32,-1.4226893518518517e-05,2.074610849056604e-05,train
33,-1.9525661375661374e-06,1.3820602425876011e-05,train
34,-1.4360115740740742e-06,6.965198113207547e-06,train
35,-5.837343550446999e-07,1.6371684450227716e-05,train
36,-4.19127037037037e-06,1.7229832075471696e-05,train
37,-7.562230452674898e-06,9.131414046121593e-06,train
38,-7.899129629629629e-06,1.7936921832884097e-05,train
39,-6.092619162640902e-06,8.966498769483182e-06,train
40,-5.442233333333333e-06,1.2610377358490563e-05,train
41,-3.2717021604938267e-06,1.1288036949685537e-05,train
42,-1.0182133333333334e-05,1.613627924528302e-05,train
43,-4.717581320450886e-06,1.5098976210008204e-05,train
44,-3.2564567901234574e-06,9.554179245283018e-06,train
45,1.4341481481481435e-08,5.999307169811321e-06,train
46,-4.718322222222222e-06,2.0490967924528297e-05,train
47,-3.395706481481482e-06,1.914090235849056e-05,train
48,-9.604867724867725e-07,1.0758460916442047e-05,train
49,-3.7700024691358025e-06,2.0594149685534587e-05,train
50,-2.1322518518518515e-06,1.1173958490566037e-05,train
51,-1.3456987654320986e-05,1.2982962264150942e-05,train
52,-1.2416089506172842e-05,2.7152647798742142e-05,train
53,-1.295906172839506e-06,1.5456644025157235e-05,train
54,-9.706835390946502e-06,6.881647798742138e-06,train
55,-1.1359345679012346e-05,1.1783404612159331e-05,train
56,-3.5254985754985734e-07,1.9074923076923076e-05,train
57,-3.538558922558923e-06,1.9931439108061746e-05,train
58,-3.5868710562414268e-06,1.7978728860936408e-05,train
59,-1.1107481481481482e-05,1.6087984905660375e-05,train
60,-4.6882323232323216e-06,1.8346123499142367e-05,train
61,-6.4620582010582e-06,1.7743180592991912e-06,train
62,-2.2237407407407404e-06,3.337096603773585e-05,train
63,-9.88012345679012e-07,2.6164614255765195e-05,train
64,3.393646464646465e-06,7.290667238421955e-06,train
65,6.689598765432099e-07,2.000216273584906e-05,train
66,-7.210001277139208e-06,2.65377358490566e-06,train
67,-1.909978213507625e-06,1.1826866814650387e-05,train
68,1.0489228395061727e-06,1.4700165094339626e-05,train
69,-1.1421280423280421e-05,7.529800539083556e-06,train
