,scale,model,mean_train_r2,mean_cv_r2,p-value,external_score,external_p-value
1,RRQ,kr,0.09552396897045701,0.046113044358327714,0.011988011988011988,0.10251125597210164,0.015984015984015984
2,RRQ,en,0.09254893622511944,0.04767099894196395,0.011988011988011988,0.09943278245265863,0.007992007992007992
32,DASS-21 Anx,en,0.026282491128345464,-0.02429115191338142,0.31368631368631367,-0.04844867470019043,0.8931068931068931
34,DASS-21 Anx,kr,0.053760985616333724,-0.002675871229981771,0.07992007992007992,-0.08329683358670525,0.8781218781218781
40,STAI-T,kr,0.0469529609884776,0.00827226099383153,0.04295704295704296,0.017546535912177696,0.15584415584415584
41,STAI-T,en,0.05057936833839083,0.008187488146110958,0.04495504495504495,0.017971867858682322,0.13086913086913088
61,BIS,kr,0.04428384386269901,0.009673836540812442,0.04995004995004995,0.05288316010835803,0.052947052947052944
62,BIS,en,0.04734330972893427,0.010798417873310262,0.04495504495504495,0.04840839163356214,0.052947052947052944
74,Washing,en,0.0,-0.04838723188217364,0.6213786213786214,-0.0006501130685254708,0.7332667332667333
76,Washing,kr,0.32152471277253253,-0.03465521698566391,0.060939060939060936,-0.28549595953994666,0.5484515484515484
92,Obsessing,en,0.012375869725044527,-0.006289987288084238,0.15284715284715283,-0.004103923258118369,0.48151848151848153
94,Obsessing,kr,0.03443533150644795,0.0023043543809561453,0.08391608391608392,-0.046861849347010986,0.8361638361638362
115,Hoarding,kr,0.029838399859158888,0.003236910877083221,0.055944055944055944,-0.1176049490049258,0.6153846153846154
116,Hoarding,en,0.020163900207881762,0.0036457076260922503,0.03196803196803197,-0.11450282648512022,0.42157842157842157
128,Ordering,en,0.0,-0.050334868874869564,0.6093906093906094,-0.005175097975116616,0.7262737262737263
130,Ordering,kr,0.0006796855064321964,-0.05073910375672989,0.6463536463536463,-0.006321235184255203,0.9040959040959041
145,Checking,kr,0.0005977386596828967,-0.002068716982453108,0.04895104895104895,-0.012466099097393712,0.7832167832167832
146,Checking,en,0.0,-0.001788829968102812,0.05094905094905095,-0.011280671273466991,0.8981018981018981
164,Neutralizing,en,0.0,-0.07036492075177596,0.7322677322677322,-0.032520982909121976,0.7342657342657343
172,Neutralizing,kr,-0.0018151676547707811,-0.06660122718810098,0.7282717282717283,-0.042352114688776865,0.19880119880119881
181,OCI-R,kr,0.00018277633271882957,-0.016346913043508476,0.3116883116883117,-0.0012606216388157954,0.974025974025974
182,OCI-R,en,0.0,-0.015445401894713292,0.3006993006993007,-0.0005860777326536226,0.8381618381618382
205,OT,kr,0.04339860115342923,-0.0059785800613222735,0.12987012987012986,-0.04811362159307686,0.8141858141858141
206,OT,en,0.029767836205066883,-0.006192466033076549,0.13486513486513488,-0.02332940029895214,0.8211788211788211
220,WBSI,kr,0.022652625543879368,-0.014862177454466682,0.21578421578421578,0.02242668672156789,0.03496503496503497
221,WBSI,en,0.02435281922007308,-0.014471770554590627,0.2097902097902098,0.017294832487790623,0.03396603396603397
238,IUS-P,kr,0.07503492915461296,0.04533103604185832,0.012987012987012988,0.10172440516560532,0.02097902097902098
239,IUS-P,en,0.07349524838693311,0.04549449924147183,0.012987012987012988,0.09151813718810697,0.022977022977022976
253,IUS-I,kr,0.009100443281980822,-0.032845886176623575,0.43356643356643354,-0.02394304776305911,0.8061938061938062
254,IUS-I,en,0.006268372711432398,-0.03330266850392897,0.44255744255744256,-0.015073909740298319,0.8161838161838162
277,SES,kr,0.08166163004150884,-0.0018627681709714183,0.08191808191808192,-0.0763635480802729,0.6093906093906094
278,SES,en,0.0730949012096022,-0.0027685295328475634,0.0899100899100899,-0.046646299347238074,0.6123876123876124
