,scale,model,mean_train_r2,mean_train_mse,mean_train_mae,mean_cv_r2,std_cv_r2,p-value,external_score,external_p-value,mean_cv_mae,std_cv_mae,mean_cv_mse,std_cv_mse,parameters,best_estimator,PCA components num,ROI,split_1_r2,split_2_r2,split_3_r2,coef_1,coef_2,coef_3,coef_4
0,RRQ,kr,0.09552396897045701,-0.7279353050533404,-0.6827559889543356,0.046113044358327714,0.03215819524054711,0.011988011988011988,0.10251125597210164,0.015984015984015984,-0.6997773458826035,0.062421065997065574,-0.7620914234402595,0.05526756596909738,"{'kr__alpha': 0.0004832930238571752, 'kr__gamma': 1e-05}","Pipeline(steps=[('features',
                 FeatureUnion(n_jobs=10,
                              transformer_list=[('pe_features',
                                                 Pipeline(steps=[('pe_data_extraction',
                                                                  PeTransformer(stop_pe_bin=9)),
                                                                 ('pe_amplitude',
                                                                  PeAmplitude2()),
                                                                 ('data_channel_swap',
                                                                  ChannelDataSwap()),
                                                                 ('postprocessing',
                                                                  PostprocessingTransformer()),
                                                                 ('scaler',
                                                                  StandardScaler())]))])),
                ('kr',
                 KernelRidge(alpha=0.0004832930238571752, gamma=1e-05,
                             kernel='rbf'))])",3,2,0.061344369433482204,0.0013863412258688923,0.07560842241563204,,,,
1,RRQ,en,0.09254893622511944,-0.7303704212717356,-0.6856042735656448,0.04767099894196395,0.03119641037682359,0.011988011988011988,0.09943278245265863,0.007992007992007992,-0.700602848476524,0.06326761842902534,-0.7611090945450497,0.05842642318795244,"{'en__alpha': 0.061584821106602544, 'en__l1_ratio': 1.0}","Pipeline(steps=[('features',
                 FeatureUnion(n_jobs=10,
                              transformer_list=[('pe_features',
                                                 Pipeline(steps=[('pe_data_extraction',
                                                                  PeTransformer(stop_pe_bin=9)),
                                                                 ('pe_amplitude',
                                                                  PeAmplitude2()),
                                                                 ('data_channel_swap',
                                                                  ChannelDataSwap()),
                                                                 ('postprocessing',
                                                                  PostprocessingTransformer()),
                                                                 ('scaler',
                                                                  StandardScaler())]))])),
                ('en',
                 ElasticNet(alpha=0.061584821106602544, l1_ratio=1.0,
                            random_state=0))])",3,2,0.0673072843435728,0.0036382942489506798,0.07206741823336837,0.017534394992477095,-0.0,0.1991817857544375,
2,DASS-21 Anx,en,0.026282491128345464,-0.26866156968594823,-0.42228052082067197,-0.02429115191338142,0.003234096829451042,0.31368631368631367,-0.04844867470019043,0.8931068931068931,-0.4300633199177432,0.02578747501150408,-0.2800349869248116,0.057247059445603106,"{'en__alpha': 2.3357214690901213, 'en__l1_ratio': 1e-08}","Pipeline(steps=[('features',
                 FeatureUnion(n_jobs=10,
                              transformer_list=[('pe_features',
                                                 Pipeline(steps=[('pe_data_extraction',
                                                                  PeTransformer(stop_pe_bin=9)),
                                                                 ('pe_amplitude',
                                                                  PeAmplitude2()),
                                                                 ('data_channel_swap',
                                                                  ChannelDataSwap()),
                                                                 ('postprocessing',
                                                                  PostprocessingTransformer()),
                                                                 ('scaler',
                                                                  StandardScaler())]))])),
                ('en',
                 ElasticNet(alpha=2.3357214690901213, l1_ratio=1e-08,
                            random_state=0))])",3,2,-0.020481997182362655,-0.02838817736944299,-0.02400328118833861,-0.024902774495102902,-0.01886743083052574,-0.007857025572352464,
3,DASS-21 Anx,kr,0.053760985616333724,-0.2614000411462958,-0.41225137004941353,-0.002675871229981771,0.03978613356439573,0.07992007992007992,-0.08329683358670525,0.8781218781218781,-0.4204111250321993,0.03523586010095899,-0.27609213546771266,0.0671349064203535,"{'kr__alpha': 1.1288378916846884, 'kr__gamma': 0.008858667904100823}","Pipeline(steps=[('features',
                 FeatureUnion(n_jobs=10,
                              transformer_list=[('pe_features',
                                                 Pipeline(steps=[('pe_data_extraction',
                                                                  PeTransformer(stop_pe_bin=9)),
                                                                 ('pe_amplitude',
                                                                  PeAmplitude2()),
                                                                 ('data_channel_swap',
                                                                  ChannelDataSwap()),
                                                                 ('postprocessing',
                                                                  PostprocessingTransformer()),
                                                                 ('scaler',
                                                                  StandardScaler())]))])),
                ('kr',
                 KernelRidge(alpha=1.1288378916846884,
                             gamma=0.008858667904100823, kernel='rbf'))])",4,2,0.03872759984890739,-0.05637335002474031,0.009618136485887607,,,,
4,STAI-T,kr,0.0469529609884776,-87.05168852957449,-7.7908622973286725,0.00827226099383153,0.025287939405376048,0.04295704295704296,0.017546535912177696,0.15584415584415584,-7.974555487318828,0.5012401434657113,-90.56412408334096,10.54436837193057,"{'kr__alpha': 0.1623776739188721, 'kr__gamma': 0.0004832930238571752}","Pipeline(steps=[('features',
                 FeatureUnion(n_jobs=10,
                              transformer_list=[('pe_features',
                                                 Pipeline(steps=[('pe_data_extraction',
                                                                  PeTransformer(stop_pe_bin=9)),
                                                                 ('pe_amplitude',
                                                                  PeAmplitude2()),
                                                                 ('data_channel_swap',
                                                                  ChannelDataSwap()),
                                                                 ('postprocessing',
                                                                  PostprocessingTransformer()),
                                                                 ('scaler',
                                                                  StandardScaler())]))])),
                ('kr',
                 KernelRidge(alpha=0.1623776739188721,
                             gamma=0.0004832930238571752, kernel='rbf'))])",4,2,0.029306313524674277,-0.027292645314664687,0.022803114771485,,,,
5,STAI-T,en,0.05057936833839083,-86.72157187773216,-7.776730202102876,0.008187488146110958,0.029560470216477307,0.04495504495504495,0.017971867858682322,0.13086913086913088,-7.967352746823295,0.5236795890304622,-90.57762350708175,10.669582315696687,"{'en__alpha': 2.3357214690901213, 'en__l1_ratio': 1e-08}","Pipeline(steps=[('features',
                 FeatureUnion(n_jobs=10,
                              transformer_list=[('pe_features',
                                                 Pipeline(steps=[('pe_data_extraction',
                                                                  PeTransformer(stop_pe_bin=9)),
                                                                 ('pe_amplitude',
                                                                  PeAmplitude2()),
                                                                 ('data_channel_swap',
                                                                  ChannelDataSwap()),
                                                                 ('postprocessing',
                                                                  PostprocessingTransformer()),
                                                                 ('scaler',
                                                                  StandardScaler())]))])),
                ('en',
                 ElasticNet(alpha=2.3357214690901213, l1_ratio=1e-08,
                            random_state=0))])",4,2,0.03159720916532971,-0.03351271901061392,0.02647797428361709,0.4474090981662415,-0.15651201527706254,0.3427636720095698,0.5032632190700108
6,BIS,kr,0.04428384386269901,-0.31912965877532545,-0.4855155205044533,0.009673836540812442,0.014741408608324392,0.04995004995004995,0.05288316010835803,0.052947052947052944,-0.49193745547592993,0.0525873816498042,-0.33096376440388914,0.06049294967224041,"{'kr__alpha': 0.0012742749857031334, 'kr__gamma': 1e-05}","Pipeline(steps=[('features',
                 FeatureUnion(n_jobs=10,
                              transformer_list=[('pe_features',
                                                 Pipeline(steps=[('pe_data_extraction',
                                                                  PeTransformer(stop_pe_bin=9)),
                                                                 ('pe_amplitude',
                                                                  PeAmplitude2()),
                                                                 ('data_channel_swap',
                                                                  ChannelDataSwap()),
                                                                 ('postprocessing',
                                                                  PostprocessingTransformer()),
                                                                 ('scaler',
                                                                  StandardScaler())]))])),
                ('kr',
                 KernelRidge(alpha=0.0012742749857031334, gamma=1e-05,
                             kernel='rbf'))])",3,2,-0.005192108113695415,0.004449144834635765,0.029764472901496974,,,,
7,BIS,en,0.04734330972893427,-0.31810189540905665,-0.4852142962007431,0.010798417873310262,0.014685958946278518,0.04495504495504495,0.04840839163356214,0.052947052947052944,-0.49146398782444695,0.05230398652894419,-0.3305716308463042,0.0602717452534354,"{'en__alpha': 0.6951927961775606, 'en__l1_ratio': 0.01}","Pipeline(steps=[('features',
                 FeatureUnion(n_jobs=10,
                              transformer_list=[('pe_features',
                                                 Pipeline(steps=[('pe_data_extraction',
                                                                  PeTransformer(stop_pe_bin=9)),
                                                                 ('pe_amplitude',
                                                                  PeAmplitude2()),
                                                                 ('data_channel_swap',
                                                                  ChannelDataSwap()),
                                                                 ('postprocessing',
                                                                  PostprocessingTransformer()),
                                                                 ('scaler',
                                                                  StandardScaler())]))])),
                ('en',
                 ElasticNet(alpha=0.6951927961775606, l1_ratio=0.01,
                            random_state=0))])",3,2,-0.001961746755821947,0.0029869627716642144,0.03137003760408852,0.03920127203618111,-0.05155849856611017,0.03194865372445746,
8,Washing,en,0.0,-0.7298139485677083,-0.697080078125,-0.04838723188217364,0.032911730990184754,0.6213786213786214,-0.0006501130685254708,0.7332667332667333,-0.71533203125,0.049023266309462,-0.7533904134114583,0.06147759464309114,"{'en__alpha': 0.20691380811147903, 'en__l1_ratio': 1.0}","Pipeline(steps=[('features',
                 FeatureUnion(n_jobs=10,
                              transformer_list=[('pe_features',
                                                 Pipeline(steps=[('pe_data_extraction',
                                                                  PeTransformer(stop_pe_bin=9)),
                                                                 ('pe_amplitude',
                                                                  PeAmplitude2()),
                                                                 ('data_channel_swap',
                                                                  ChannelDataSwap()),
                                                                 ('postprocessing',
                                                                  PostprocessingTransformer()),
                                                                 ('scaler',
                                                                  StandardScaler())]))])),
                ('en',
                 ElasticNet(alpha=0.20691380811147903, l1_ratio=1.0,
                            random_state=0))])",3,2,-0.061413141982412656,-0.0031765081017927077,-0.08057204556231556,-0.0,0.0,-0.0,
9,Washing,kr,0.32152471277253253,-0.4945141099684871,-0.5733299946181808,-0.03465521698566391,0.18155709090128233,0.060939060939060936,-0.28549595953994666,0.5484515484515484,-0.6640499312816428,0.06323529663710781,-0.745305464824642,0.15238339614966656,"{'kr__alpha': 0.06158482110660261, 'kr__gamma': 0.023357214690901212}","Pipeline(steps=[('features',
                 FeatureUnion(n_jobs=10,
                              transformer_list=[('pe_features',
                                                 Pipeline(steps=[('pe_data_extraction',
                                                                  PeTransformer(stop_pe_bin=9)),
                                                                 ('pe_amplitude',
                                                                  PeAmplitude2()),
                                                                 ('data_channel_swap',
                                                                  ChannelDataSwap()),
                                                                 ('postprocessing',
                                                                  PostprocessingTransformer()),
                                                                 ('scaler',
                                                                  StandardScaler())]))])),
                ('kr',
                 KernelRidge(alpha=0.06158482110660261,
                             gamma=0.023357214690901212, kernel='rbf'))])",4,2,-0.13952488521837614,0.22074816247300721,-0.1851889282116228,,,,
