,DASS-21 Anx,STAI-T,BIS,RRQ,WBSI,OT,IUS-P,IUS-I,OCI-R,Checking,Hoarding,Obsessing,Ordering,Neutralizing,Washing,SES
DASS-21 Anx,1.0***,0.29***,0.25**,0.19*,0.3***,0.2**,-0.04,0.12,0.2*,0.15,0.12,0.28***,0.15,0.1,-0.07,-0.21**
STAI-T,0.29***,1.0***,0.73***,0.65***,0.49***,0.54***,0.26***,0.6***,0.27***,0.06,0.34***,0.55***,-0.02,0.2*,-0.1,-0.83***
BIS,0.25**,0.73***,1.0***,0.6***,0.34***,0.4***,0.39***,0.58***,0.22**,0.03,0.27***,0.37***,0.08,0.11,-0.03,-0.61***
RRQ,0.19*,0.65***,0.6***,1.0***,0.56***,0.51***,0.34***,0.51***,0.3***,0.05,0.36***,0.55***,0.02,0.12,0.06,-0.51***
WBSI,0.3***,0.49***,0.34***,0.56***,1.0***,0.45***,0.32***,0.39***,0.47***,0.3***,0.34***,0.55***,0.28***,0.18*,0.1,-0.37***
OT,0.2**,0.54***,0.4***,0.51***,0.45***,1.0***,0.33***,0.48***,0.46***,0.28***,0.34***,0.52***,0.23**,0.28***,0.11,-0.53***
IUS-P,-0.04,0.26***,0.39***,0.34***,0.32***,0.33***,1.0***,0.56***,0.35***,0.28***,0.26**,0.17*,0.31***,0.14,0.19*,-0.2*
IUS-I,0.12,0.6***,0.58***,0.51***,0.39***,0.48***,0.56***,1.0***,0.25**,0.14,0.29***,0.36***,-0.0,0.22**,0.01,-0.52***
OCI-R,0.2*,0.27***,0.22**,0.3***,0.47***,0.46***,0.35***,0.25**,1.0***,0.71***,0.64***,0.59***,0.78***,0.6***,0.59***,-0.2**
Checking,0.15,0.06,0.03,0.05,0.3***,0.28***,0.28***,0.14,0.71***,1.0***,0.34***,0.16,0.56***,0.44***,0.25**,-0.02
Hoarding,0.12,0.34***,0.27***,0.36***,0.34***,0.34***,0.26**,0.29***,0.64***,0.34***,1.0***,0.4***,0.31***,0.3***,0.16,-0.27***
Obsessing,0.28***,0.55***,0.37***,0.55***,0.55***,0.52***,0.17*,0.36***,0.59***,0.16,0.4***,1.0***,0.24**,0.21**,0.22**,-0.44***
Ordering,0.15,-0.02,0.08,0.02,0.28***,0.23**,0.31***,-0.0,0.78***,0.56***,0.31***,0.24**,1.0***,0.38***,0.46***,0.02
Neutralizing,0.1,0.2*,0.11,0.12,0.18*,0.28***,0.14,0.22**,0.6***,0.44***,0.3***,0.21**,0.38***,1.0***,0.3***,-0.19*
Washing,-0.07,-0.1,-0.03,0.06,0.1,0.11,0.19*,0.01,0.59***,0.25**,0.16,0.22**,0.46***,0.3***,1.0***,0.12
SES,-0.21**,-0.83***,-0.61***,-0.51***,-0.37***,-0.53***,-0.2*,-0.52***,-0.2**,-0.02,-0.27***,-0.44***,0.02,-0.19*,0.12,1.0***
