,pipeline,values
0,ern-ROI 1 train,28.46027612046291
1,ern-ROI 1 train,40.25608113835129
2,ern-ROI 1 train,67.99243259377434
3,ern-ROI 1 train,19.741684783078128
4,ern-ROI 1 train,35.9208351626888
5,ern-ROI 1 train,37.36169100207452
6,ern-ROI 1 train,23.07975422916069
7,ern-ROI 1 train,22.437109909456126
8,ern-ROI 1 train,66.99493050968104
9,ern-ROI 1 train,27.15572583652357
10,ern-ROI 1 train,22.569209033809475
11,ern-ROI 1 train,44.44068276238977
12,ern-ROI 1 train,75.56771019900344
13,ern-ROI 1 train,73.68035512110686
14,ern-ROI 1 train,27.64369335250403
15,ern-ROI 1 train,40.55580724763512
16,ern-ROI 1 train,79.55521123804117
17,ern-ROI 1 train,42.182503740844325
18,ern-ROI 1 train,39.29118422429874
19,ern-ROI 1 train,49.975295379993455
20,ern-ROI 1 train,24.613572916482724
21,ern-ROI 1 train,61.5810941373535
22,ern-ROI 1 train,28.529166375564916
23,ern-ROI 1 train,36.88314757290369
24,ern-ROI 1 train,41.45585344293499
25,ern-ROI 1 train,23.87000656128443
26,ern-ROI 1 train,34.44914186970818
27,ern-ROI 1 train,27.219261797992914
28,ern-ROI 1 train,24.432271327440652
29,ern-ROI 1 train,19.12178797152795
30,ern-ROI 1 train,53.3617342385603
31,ern-ROI 1 train,30.49226046816205
32,ern-ROI 1 train,53.68891559465097
33,ern-ROI 1 train,33.38650989062025
34,ern-ROI 1 train,31.4673927156373
35,ern-ROI 1 train,37.31793692874673
36,ern-ROI 1 train,65.29259605843026
37,ern-ROI 1 train,37.367272729057035
38,ern-ROI 1 train,36.46277163541793
39,ern-ROI 1 train,21.92981225624818
40,ern-ROI 1 train,42.95113127088463
41,ern-ROI 1 train,32.110842112439265
42,ern-ROI 1 train,43.649382209364006
43,ern-ROI 1 train,38.56725913032393
44,ern-ROI 1 train,41.664626129323274
45,ern-ROI 1 train,11.736835694125194
46,ern-ROI 1 train,20.013947298828494
47,ern-ROI 1 train,32.987091996072756
48,ern-ROI 1 train,35.79120980443535
49,ern-ROI 1 train,39.001911977603214
50,ern-ROI 1 train,38.834801205724936
51,ern-ROI 1 train,75.08216974853421
52,ern-ROI 1 train,53.57343963141846
53,ern-ROI 1 train,25.288025896881084
54,ern-ROI 1 train,52.51872691340023
55,ern-ROI 1 train,48.45198869802674
56,ern-ROI 1 train,17.55957738986904
