,Train dataset,,,,Test dataset,,,
ROI,Participant number,Between subject,Within subject,Internal consistency,Participant number,Between subject,Within subject,Internal consistency
3,1,2.56E-05,3.14E-05,.81,1,2.04E-05,4.41E-05,.75
,2,,4.14E-05,.69,2,,2.66E-05,.78
,3,,3.72E-05,.70,3,,1.80E-05,.84
,4,,2.74E-05,.97,4,,3.70E-05,.79
,5,,2.10E-05,.88,5,,3.72E-05,.63
,6,,2.99E-05,.97,6,,2.90E-05,.64
,7,,3.17E-05,.90,7,,3.96E-05,.71
,8,,2.59E-05,.90,8,,2.76E-05,.87
,9,,4.22E-05,.77,9,,3.70E-05,.73
,10,,2.55E-05,.97,10,,2.13E-05,.96
,11,,2.37E-05,.93,11,,3.71E-05,.87
,12,,3.39E-05,.95,12,,2.98E-05,.93
,13,,4.46E-05,.63,13,,2.65E-05,.86
,14,,5.17E-05,.59,14,,3.38E-05,.85
,15,,2.26E-05,.96,15,,3.59E-05,.76
,16,,1.69E-05,.93,16,,2.49E-05,.92
,17,,3.54E-05,.85,17,,2.60E-05,.85
,18,,2.81E-05,.96,18,,2.59E-05,.90
,19,,3.11E-05,.92,19,,2.62E-05,.85
,20,,4.41E-05,.79,20,,3.70E-05,.82
,21,,2.98E-05,.93,21,,2.29E-05,.83
,22,,3.11E-05,.86,22,,4.41E-05,.72
,23,,2.77E-05,.91,23,,3.46E-05,.93
,24,,2.73E-05,.89,24,,1.24E-05,.93
,25,,2.80E-05,.90,25,,6.02E-05,.64
,26,,2.97E-05,.93,26,,2.26E-05,.94
,27,,2.65E-05,.87,27,,3.63E-05,.85
,28,,2.68E-05,.95,28,,2.85E-05,.87
,29,,2.60E-05,.88,29,,2.82E-05,.85
,30,,3.41E-05,.92,30,,3.83E-05,.79
,31,,3.24E-05,.84,31,,3.17E-05,.87
,32,,4.01E-05,.80,32,,2.18E-05,.82
,33,,3.73E-05,.80,33,,1.97E-05,.94
,34,,3.77E-05,.86,34,,2.69E-05,.92
,35,,1.31E-05,.99,,,,
,36,,2.62E-05,.96,,,,
,37,,4.12E-05,.78,,,,
,38,,3.10E-05,.93,,,,
,39,,2.62E-05,.93,,,,
,40,,2.59E-05,.98,,,,
,41,,1.77E-05,.94,,,,
,42,,2.85E-05,.94,,,,
,43,,4.75E-05,.62,,,,
,44,,3.35E-05,.93,,,,
,45,,3.08E-05,.79,,,,
,46,,2.36E-05,.98,,,,
,47,,3.70E-05,.90,,,,
,48,,2.81E-05,.97,,,,
,49,,2.94E-05,.95,,,,
,50,,3.30E-05,.90,,,,
,51,,3.40E-05,.71,,,,
,52,,2.93E-05,.84,,,,
,53,,3.87E-05,.83,,,,
,54,,2.77E-05,.93,,,,
,55,,3.29E-05,.85,,,,
,56,,3.33E-05,.91,,,,
,57,,3.17E-05,.88,,,,
,58,,3.21E-05,.87,,,,
,59,,2.56E-05,.97,,,,
,60,,1.15E-05,.96,,,,
,61,,2.39E-05,.93,,,,
,62,,3.43E-05,.87,,,,
,63,,3.02E-05,.82,,,,
,64,,2.20E-05,.91,,,,
,65,,4.99E-05,.72,,,,
,66,,3.55E-05,.92,,,,
,67,,2.96E-05,.96,,,,
,68,,3.11E-05,.92,,,,
,69,,2.82E-05,.95,,,,
,70,,3.31E-05,.80,,,,
,71,,3.75E-05,.89,,,,
,72,,2.57E-05,.95,,,,
,73,,2.65E-05,.97,,,,
,74,,2.35E-05,.96,,,,
,75,,3.12E-05,.97,,,,
,76,,4.00E-05,.93,,,,
,77,,2.18E-05,.96,,,,
,78,,3.56E-05,.91,,,,
,79,,3.55E-05,.92,,,,
,80,,3.36E-05,.86,,,,
,81,,1.54E-05,.93,,,,
,82,,3.21E-05,.87,,,,
,83,,1.20E-05,.96,,,,
,84,,5.85E-05,.69,,,,
,85,,3.90E-05,.81,,,,
,86,,2.99E-05,.84,,,,
,87,,1.69E-05,.98,,,,
,88,,4.88E-05,.84,,,,
