,pipeline,values,num_trials
0,ern-ROI 1 train,9.787843060587,6.0
1,ern-ROI 1 train,23.18947437209351,6.0
2,ern-ROI 1 train,26.779320436248018,5.0
3,ern-ROI 1 train,14.657183640812555,33.0
4,ern-ROI 1 train,18.60901267570187,6.0
5,ern-ROI 1 train,29.05660963353334,44.0
6,ern-ROI 1 train,18.92855076057485,16.0
7,ern-ROI 1 train,22.316070753137065,9.0
8,ern-ROI 1 train,34.9217324932859,10.0
9,ern-ROI 1 train,15.389166194734813,37.0
10,ern-ROI 1 train,17.794729719375724,13.0
11,ern-ROI 1 train,26.572329285382036,35.0
12,ern-ROI 1 train,19.141963712265177,6.0
13,ern-ROI 1 train,26.984968933969657,6.0
14,ern-ROI 1 train,14.454466139460473,17.0
15,ern-ROI 1 train,12.515428143218658,6.0
16,ern-ROI 1 train,16.64347022752481,9.0
17,ern-ROI 1 train,29.693878072142716,38.0
18,ern-ROI 1 train,30.844171684826403,17.0
19,ern-ROI 1 train,26.51107422748685,10.0
20,ern-ROI 1 train,21.058737794349625,18.0
21,ern-ROI 1 train,22.2240822968813,9.0
22,ern-ROI 1 train,14.110784180704178,15.0
23,ern-ROI 1 train,25.169961245326643,9.0
24,ern-ROI 1 train,23.187984240017368,14.0
25,ern-ROI 1 train,23.525914352598498,17.0
26,ern-ROI 1 train,19.810497279927258,7.0
27,ern-ROI 1 train,17.47517635592899,20.0
28,ern-ROI 1 train,13.238517538518881,6.0
29,ern-ROI 1 train,17.089950315750265,21.0
30,ern-ROI 1 train,28.999141862617325,8.0
31,ern-ROI 1 train,22.298592099920615,10.0
32,ern-ROI 1 train,28.823905116885726,8.0
33,ern-ROI 1 train,34.89024143179261,14.0
34,ern-ROI 1 train,18.012426983806638,16.0
35,ern-ROI 1 train,15.272910972362258,29.0
36,ern-ROI 1 train,28.451516597180312,10.0
37,ern-ROI 1 train,18.060408067041305,18.0
38,ern-ROI 1 train,14.652991679676584,14.0
39,ern-ROI 1 train,16.36836278412185,46.0
40,ern-ROI 1 train,18.781054621742083,10.0
41,ern-ROI 1 train,22.079947736305964,24.0
42,ern-ROI 1 train,31.10504418778413,5.0
43,ern-ROI 1 train,27.522352258664647,23.0
44,ern-ROI 1 train,27.572074916356012,6.0
45,ern-ROI 1 train,15.503458463286375,50.0
46,ern-ROI 1 train,19.492707062472817,20.0
47,ern-ROI 1 train,20.214678634800432,40.0
48,ern-ROI 1 train,25.152362102680343,28.0
49,ern-ROI 1 train,22.50101419368034,15.0
50,ern-ROI 1 train,28.168690949814756,5.0
51,ern-ROI 1 train,17.637740060371563,6.0
52,ern-ROI 1 train,11.460764133267695,12.0
53,ern-ROI 1 train,21.389797954825717,15.0
54,ern-ROI 1 train,21.841635032522472,9.0
55,ern-ROI 1 train,22.00839782143881,18.0
56,ern-ROI 1 train,19.16802000968401,13.0
57,ern-ROI 1 train,32.10775696537356,11.0
58,ern-ROI 1 train,17.87880747476636,27.0
59,ern-ROI 1 train,16.992871257704262,5.0
60,ern-ROI 1 train,26.291028615241558,11.0
61,ern-ROI 1 train,26.05370358949768,7.0
62,ern-ROI 1 train,7.384534548545254,5.0
63,ern-ROI 1 train,15.570534625060864,9.0
64,ern-ROI 1 train,40.463667686531984,11.0
65,ern-ROI 1 train,21.393551692895592,24.0
66,ern-ROI 1 train,19.68437525605159,29.0
67,ern-ROI 1 train,14.886361452382488,17.0
68,ern-ROI 1 train,20.07742505303416,24.0
69,ern-ROI 1 train,22.62546692648649,7.0
70,ern-ROI 1 train,27.34386423994062,18.0
71,ern-ROI 1 train,16.005611732858817,17.0
72,ern-ROI 1 train,15.741648560026464,34.0
73,ern-ROI 1 train,22.91240520683423,23.0
74,ern-ROI 1 train,22.53072159789988,46.0
75,ern-ROI 1 train,21.635940513484996,30.0
76,ern-ROI 1 train,18.560117621073978,19.0
77,ern-ROI 1 train,13.31682226907401,21.0
78,ern-ROI 1 train,27.429829127542238,20.0
79,ern-ROI 1 train,26.01748993393221,11.0
80,ern-ROI 1 train,27.32599588058258,6.0
81,ern-ROI 1 train,21.12064851938625,9.0
82,ern-ROI 1 train,7.277744656012351,6.0
83,ern-ROI 1 train,37.81108909325066,12.0
84,ern-ROI 1 train,27.923018093545203,11.0
85,ern-ROI 1 train,23.782303744879425,7.0
86,ern-ROI 1 train,12.609826625208397,24.0
87,ern-ROI 1 train,29.1096565024312,19.0
88,ern-ROI 1 train,17.642524493938684,31.0
89,ern-ROI 1 train,21.66253759697264,16.0
90,ern-ROI 1 train,22.750552860752773,40.0
91,ern-ROI 1 train,30.176832761478778,21.0
92,ern-ROI 1 train,15.564971064718168,26.0
93,ern-ROI 1 train,15.59368622009873,14.0
94,ern-ROI 1 train,38.6998832764322,14.0
95,ern-ROI 1 train,22.222052159780006,16.0
96,ern-ROI 2 train,12.384593069638674,6.0
97,ern-ROI 2 train,28.86958536828317,6.0
98,ern-ROI 2 train,31.26986229048234,5.0
99,ern-ROI 2 train,16.285792543035644,33.0
100,ern-ROI 2 train,22.54348639487535,6.0
101,ern-ROI 2 train,35.61623815125763,44.0
102,ern-ROI 2 train,23.165073008859164,16.0
103,ern-ROI 2 train,27.78113599354218,9.0
104,ern-ROI 2 train,41.36509082338086,10.0
105,ern-ROI 2 train,18.4671438221722,37.0
106,ern-ROI 2 train,21.904909085747324,13.0
107,ern-ROI 2 train,31.68209190484692,35.0
108,ern-ROI 2 train,22.88649764563316,6.0
109,ern-ROI 2 train,32.66213319089343,6.0
110,ern-ROI 2 train,17.704876639960595,17.0
111,ern-ROI 2 train,16.41625528006993,6.0
112,ern-ROI 2 train,21.525334175905364,9.0
113,ern-ROI 2 train,36.018352599967855,38.0
114,ern-ROI 2 train,36.37575882121732,17.0
115,ern-ROI 2 train,32.617855417107116,10.0
116,ern-ROI 2 train,18.82658330289327,18.0
117,ern-ROI 2 train,26.175598704476492,9.0
118,ern-ROI 2 train,18.366070676207908,15.0
119,ern-ROI 2 train,28.55759344386509,9.0
120,ern-ROI 2 train,29.242056938094358,14.0
121,ern-ROI 2 train,29.463637317467555,17.0
122,ern-ROI 2 train,26.924596639826994,7.0
123,ern-ROI 2 train,19.351951304531692,20.0
124,ern-ROI 2 train,15.353943149032728,6.0
125,ern-ROI 2 train,18.827932107917004,21.0
126,ern-ROI 2 train,36.08575270563671,8.0
127,ern-ROI 2 train,26.327886958594547,10.0
128,ern-ROI 2 train,34.96479921488376,8.0
129,ern-ROI 2 train,39.32865310616574,14.0
130,ern-ROI 2 train,20.692048627311767,16.0
131,ern-ROI 2 train,17.998727537565063,29.0
132,ern-ROI 2 train,32.51309897118391,10.0
133,ern-ROI 2 train,24.30438578427957,18.0
134,ern-ROI 2 train,18.71788251434926,14.0
135,ern-ROI 2 train,19.317925506808425,46.0
136,ern-ROI 2 train,23.05209173051112,10.0
137,ern-ROI 2 train,28.816083298190467,24.0
138,ern-ROI 2 train,38.563860784153036,5.0
139,ern-ROI 2 train,32.519612866727144,23.0
140,ern-ROI 2 train,32.31928786197968,6.0
141,ern-ROI 2 train,18.811275373591485,50.0
142,ern-ROI 2 train,23.272004576837457,20.0
143,ern-ROI 2 train,24.51762922271694,40.0
144,ern-ROI 2 train,29.991572865780167,28.0
145,ern-ROI 2 train,26.635753506722043,15.0
146,ern-ROI 2 train,32.12089450285201,5.0
147,ern-ROI 2 train,20.451834033455007,6.0
148,ern-ROI 2 train,14.613895580559106,12.0
149,ern-ROI 2 train,25.071235711668376,15.0
150,ern-ROI 2 train,26.550293294012278,9.0
151,ern-ROI 2 train,26.38198320098152,18.0
152,ern-ROI 2 train,21.3882622657116,13.0
153,ern-ROI 2 train,36.98096614102299,11.0
154,ern-ROI 2 train,22.48981636999151,27.0
155,ern-ROI 2 train,23.374091044427328,5.0
156,ern-ROI 2 train,39.22871178596504,11.0
157,ern-ROI 2 train,29.560436980019002,7.0
158,ern-ROI 2 train,10.363404392043217,5.0
159,ern-ROI 2 train,18.396117638678042,9.0
160,ern-ROI 2 train,48.38396586321365,11.0
161,ern-ROI 2 train,25.173987291592418,24.0
162,ern-ROI 2 train,24.952730222959037,29.0
163,ern-ROI 2 train,17.735361710247275,17.0
164,ern-ROI 2 train,24.314919012702454,24.0
165,ern-ROI 2 train,27.795814791826373,7.0
166,ern-ROI 2 train,32.86335729653856,18.0
167,ern-ROI 2 train,21.015907694605612,17.0
168,ern-ROI 2 train,22.94418224391364,34.0
169,ern-ROI 2 train,27.451832240970152,23.0
170,ern-ROI 2 train,28.950099163420987,46.0
171,ern-ROI 2 train,26.37218083134762,30.0
172,ern-ROI 2 train,22.60660721092464,19.0
173,ern-ROI 2 train,12.004825293214102,21.0
174,ern-ROI 2 train,35.47119267160227,20.0
175,ern-ROI 2 train,34.443564070889046,11.0
176,ern-ROI 2 train,35.62142459268385,6.0
177,ern-ROI 2 train,28.3584326626317,9.0
178,ern-ROI 2 train,6.779455555738375,6.0
179,ern-ROI 2 train,46.221127479961154,12.0
180,ern-ROI 2 train,33.94622091168939,11.0
181,ern-ROI 2 train,28.277275891870822,7.0
182,ern-ROI 2 train,15.327308501932233,24.0
183,ern-ROI 2 train,35.5346778033,19.0
184,ern-ROI 2 train,21.342261701542668,31.0
185,ern-ROI 2 train,25.725412729240748,16.0
186,ern-ROI 2 train,28.065394328523627,40.0
187,ern-ROI 2 train,34.900974902693186,21.0
188,ern-ROI 2 train,18.984494862340814,26.0
189,ern-ROI 2 train,18.162186767520193,14.0
190,ern-ROI 2 train,47.69156624864515,14.0
191,ern-ROI 2 train,27.27174036603889,16.0
192,pe-ROI 3 train,25.546195085971547,6.0
193,pe-ROI 3 train,35.468627988321906,6.0
194,pe-ROI 3 train,31.58254725817051,5.0
195,pe-ROI 3 train,23.26394607263346,33.0
196,pe-ROI 3 train,19.676662451872158,6.0
197,pe-ROI 3 train,25.694951439685937,44.0
198,pe-ROI 3 train,28.517391221349286,16.0
199,pe-ROI 3 train,21.837907663855468,9.0
200,pe-ROI 3 train,37.21983218495787,10.0
201,pe-ROI 3 train,22.611158400258308,37.0
202,pe-ROI 3 train,20.866987534474415,13.0
203,pe-ROI 3 train,28.728493918310715,35.0
204,pe-ROI 3 train,40.459349077016434,6.0
205,pe-ROI 3 train,44.08032714379816,6.0
206,pe-ROI 3 train,18.12636961724619,17.0
207,pe-ROI 3 train,14.084824454404838,6.0
208,pe-ROI 3 train,27.757867043394526,9.0
209,pe-ROI 3 train,25.555520918866037,38.0
210,pe-ROI 3 train,27.091876823332726,17.0
211,pe-ROI 3 train,35.48959905108007,10.0
212,pe-ROI 3 train,24.4953893170155,18.0
213,pe-ROI 3 train,26.630323694224238,9.0
214,pe-ROI 3 train,26.14037741267518,15.0
215,pe-ROI 3 train,22.906580591384476,9.0
216,pe-ROI 3 train,26.474224443425406,14.0
217,pe-ROI 3 train,24.998843888094566,17.0
218,pe-ROI 3 train,22.263958639359174,7.0
219,pe-ROI 3 train,23.09646914501324,20.0
220,pe-ROI 3 train,19.70382713614707,6.0
221,pe-ROI 3 train,28.52544552963572,21.0
222,pe-ROI 3 train,26.432175187871607,8.0
223,pe-ROI 3 train,34.71973850326173,10.0
224,pe-ROI 3 train,30.218080141755227,8.0
225,pe-ROI 3 train,32.28336852889118,14.0
226,pe-ROI 3 train,10.337260858584546,16.0
227,pe-ROI 3 train,23.10198409859043,29.0
228,pe-ROI 3 train,36.31891887993942,10.0
229,pe-ROI 3 train,26.004226501092212,18.0
230,pe-ROI 3 train,22.657109039584753,14.0
231,pe-ROI 3 train,22.22070766621532,46.0
232,pe-ROI 3 train,17.813946682431098,10.0
233,pe-ROI 3 train,25.76666598531235,24.0
234,pe-ROI 3 train,38.0820234520717,5.0
235,pe-ROI 3 train,29.284174412638183,23.0
236,pe-ROI 3 train,27.778042135574026,6.0
237,pe-ROI 3 train,20.817297655616578,50.0
238,pe-ROI 3 train,31.472390712985185,20.0
239,pe-ROI 3 train,22.008891472325494,40.0
240,pe-ROI 3 train,25.80704997338681,28.0
241,pe-ROI 3 train,27.572350748425592,15.0
242,pe-ROI 3 train,30.95511951638759,5.0
243,pe-ROI 3 train,23.152570610369438,6.0
244,pe-ROI 3 train,33.556371234974335,12.0
245,pe-ROI 3 train,22.98735003408813,15.0
246,pe-ROI 3 train,27.072029260933657,9.0
247,pe-ROI 3 train,28.357117364612304,18.0
248,pe-ROI 3 train,28.328495294558465,13.0
249,pe-ROI 3 train,27.630558421285976,11.0
250,pe-ROI 3 train,21.173361491849835,27.0
251,pe-ROI 3 train,10.301835470029996,5.0
252,pe-ROI 3 train,20.341777771786145,11.0
253,pe-ROI 3 train,21.81459652365951,7.0
254,pe-ROI 3 train,22.610807841539785,5.0
255,pe-ROI 3 train,20.213590310641827,9.0
256,pe-ROI 3 train,44.96524080247422,11.0
257,pe-ROI 3 train,30.52621794847713,24.0
258,pe-ROI 3 train,25.184615174069037,29.0
259,pe-ROI 3 train,25.663847527659346,17.0
260,pe-ROI 3 train,24.976625278231836,24.0
261,pe-ROI 3 train,28.438536468830083,7.0
262,pe-ROI 3 train,32.13670519264869,18.0
263,pe-ROI 3 train,21.0081466757482,17.0
264,pe-ROI 3 train,23.314968944741295,34.0
265,pe-ROI 3 train,21.445912922146167,23.0
266,pe-ROI 3 train,26.91284614365987,46.0
267,pe-ROI 3 train,33.58639789972582,30.0
268,pe-ROI 3 train,19.601656912243328,19.0
269,pe-ROI 3 train,31.649695651208177,21.0
270,pe-ROI 3 train,28.80191079666638,20.0
271,pe-ROI 3 train,29.03439514899173,11.0
272,pe-ROI 3 train,14.238513190261122,6.0
273,pe-ROI 3 train,25.23952325986169,9.0
274,pe-ROI 3 train,11.035239854899736,6.0
275,pe-ROI 3 train,50.3633990202102,12.0
276,pe-ROI 3 train,34.94675132955224,11.0
277,pe-ROI 3 train,25.160859168420817,7.0
278,pe-ROI 3 train,15.768486557199926,24.0
279,pe-ROI 3 train,40.977468578283144,19.0
280,pe-ROI 3 train,23.210856025501243,31.0
281,pe-ROI 3 train,25.58559749078152,16.0
282,pe-ROI 3 train,24.910120564960984,40.0
283,pe-ROI 3 train,31.004829287108954,21.0
284,pe-ROI 3 train,24.118710832312324,26.0
285,pe-ROI 3 train,27.94528263506517,14.0
286,pe-ROI 3 train,37.50651098061436,14.0
287,pe-ROI 3 train,22.761790854525934,16.0
288,pe-ROI 4 train,31.435119899404427,6.0
289,pe-ROI 4 train,41.35255571902889,6.0
290,pe-ROI 4 train,37.22240687758219,5.0
291,pe-ROI 4 train,27.40663905454777,33.0
292,pe-ROI 4 train,21.015432935960057,6.0
293,pe-ROI 4 train,29.91316492302283,44.0
294,pe-ROI 4 train,31.67859203527301,16.0
295,pe-ROI 4 train,25.949755106453036,9.0
296,pe-ROI 4 train,42.214146262493514,10.0
297,pe-ROI 4 train,25.4693931247356,37.0
298,pe-ROI 4 train,23.6531703230653,13.0
299,pe-ROI 4 train,33.87865508939224,35.0
300,pe-ROI 4 train,44.6220607343635,6.0
301,pe-ROI 4 train,51.671664369897584,6.0
302,pe-ROI 4 train,22.618301585109943,17.0
303,pe-ROI 4 train,16.94522130100245,6.0
304,pe-ROI 4 train,35.37610943384306,9.0
305,pe-ROI 4 train,28.102273399088112,38.0
306,pe-ROI 4 train,31.10408415462376,17.0
307,pe-ROI 4 train,44.06392590587833,10.0
308,pe-ROI 4 train,29.787645065896026,18.0
309,pe-ROI 4 train,31.147812565522546,9.0
310,pe-ROI 4 train,27.707132184777542,15.0
311,pe-ROI 4 train,27.347686502517977,9.0
312,pe-ROI 4 train,28.002635482579436,14.0
313,pe-ROI 4 train,29.679491976908697,17.0
314,pe-ROI 4 train,26.540991748773536,7.0
315,pe-ROI 4 train,26.82871480618742,20.0
316,pe-ROI 4 train,26.00401283453571,6.0
317,pe-ROI 4 train,34.05657084599695,21.0
318,pe-ROI 4 train,32.40127536349134,8.0
319,pe-ROI 4 train,40.101613235720194,10.0
320,pe-ROI 4 train,37.279575612743045,8.0
321,pe-ROI 4 train,37.73022622411947,14.0
322,pe-ROI 4 train,13.069558294095017,16.0
323,pe-ROI 4 train,26.240896517993377,29.0
324,pe-ROI 4 train,41.22770894361687,10.0
325,pe-ROI 4 train,30.99173903444101,18.0
326,pe-ROI 4 train,26.217250356076647,14.0
327,pe-ROI 4 train,25.855612867442147,46.0
328,pe-ROI 4 train,17.682655979914593,10.0
329,pe-ROI 4 train,28.54655355855193,24.0
330,pe-ROI 4 train,47.53640680954338,5.0
331,pe-ROI 4 train,33.46456323594196,23.0
332,pe-ROI 4 train,30.813118168433533,6.0
333,pe-ROI 4 train,23.63066467987258,50.0
334,pe-ROI 4 train,36.97892197200155,20.0
335,pe-ROI 4 train,28.076180135206695,40.0
336,pe-ROI 4 train,29.43131097563439,28.0
337,pe-ROI 4 train,32.96204200992791,15.0
338,pe-ROI 4 train,34.02681225605615,5.0
339,pe-ROI 4 train,29.335555136576158,6.0
340,pe-ROI 4 train,38.73522042077907,12.0
341,pe-ROI 4 train,27.735614380629062,15.0
342,pe-ROI 4 train,32.8928024869238,9.0
343,pe-ROI 4 train,33.282119677163486,18.0
344,pe-ROI 4 train,31.69685758988154,13.0
345,pe-ROI 4 train,32.12147495512266,11.0
346,pe-ROI 4 train,25.648445051020726,27.0
347,pe-ROI 4 train,11.547661019645254,5.0
348,pe-ROI 4 train,23.882068647945676,11.0
349,pe-ROI 4 train,34.34613524295011,7.0
350,pe-ROI 4 train,30.22266518470516,5.0
351,pe-ROI 4 train,22.042685011163385,9.0
352,pe-ROI 4 train,49.92781005237799,11.0
353,pe-ROI 4 train,35.50615685893717,24.0
354,pe-ROI 4 train,29.584765622821845,29.0
355,pe-ROI 4 train,31.067716441321455,17.0
356,pe-ROI 4 train,28.23133255866704,24.0
357,pe-ROI 4 train,33.11379091756791,7.0
358,pe-ROI 4 train,37.468377905814755,18.0
359,pe-ROI 4 train,25.73088502406314,17.0
360,pe-ROI 4 train,26.47670190884081,34.0
361,pe-ROI 4 train,23.50329108086497,23.0
362,pe-ROI 4 train,31.233006561916888,46.0
363,pe-ROI 4 train,40.04586097231949,30.0
364,pe-ROI 4 train,21.761686721888026,19.0
365,pe-ROI 4 train,35.60086256918461,21.0
366,pe-ROI 4 train,35.4619994462724,20.0
367,pe-ROI 4 train,33.60868092935145,11.0
368,pe-ROI 4 train,15.384601403357012,6.0
369,pe-ROI 4 train,32.089732549938695,9.0
370,pe-ROI 4 train,12.024143089896885,6.0
371,pe-ROI 4 train,58.490801536131286,12.0
372,pe-ROI 4 train,39.00158335347257,11.0
373,pe-ROI 4 train,29.861308030317424,7.0
374,pe-ROI 4 train,16.868711189634872,24.0
375,pe-ROI 4 train,48.76918430599436,19.0
376,pe-ROI 4 train,27.129474660035964,31.0
377,pe-ROI 4 train,30.476262349680916,16.0
378,pe-ROI 4 train,28.473245437926064,40.0
379,pe-ROI 4 train,36.634228870321245,21.0
380,pe-ROI 4 train,28.215185007723342,26.0
381,pe-ROI 4 train,34.07413000211664,14.0
382,pe-ROI 4 train,44.09000943863109,14.0
383,pe-ROI 4 train,26.28758331975973,16.0
384,ern-ROI 1 test,24.31312849747852,17.0
385,ern-ROI 1 test,16.473265174936532,8.0
386,ern-ROI 1 test,15.296197373555042,7.0
387,ern-ROI 1 test,18.020310401029434,13.0
388,ern-ROI 1 test,20.628611127053176,7.0
389,ern-ROI 1 test,7.762480256658117,6.0
390,ern-ROI 1 test,25.931714427115608,13.0
391,ern-ROI 1 test,22.195054036576092,16.0
392,ern-ROI 1 test,17.468567707411975,12.0
393,ern-ROI 1 test,15.610290294718848,13.0
394,ern-ROI 1 test,19.852388199712927,29.0
395,ern-ROI 1 test,16.514582659638528,36.0
396,ern-ROI 1 test,34.41095616135986,22.0
397,ern-ROI 1 test,25.4431398022009,20.0
398,ern-ROI 1 test,17.06711292476566,13.0
399,ern-ROI 1 test,25.24295543181981,22.0
400,ern-ROI 1 test,25.86472813542535,16.0
401,ern-ROI 1 test,6.712450219069291,15.0
402,ern-ROI 1 test,20.37069208665288,14.0
403,ern-ROI 1 test,21.24219267997668,20.0
404,ern-ROI 1 test,10.418024891074015,8.0
405,ern-ROI 1 test,30.23322663382133,16.0
406,ern-ROI 1 test,19.172347270950226,48.0
407,ern-ROI 1 test,18.340981111077593,14.0
408,ern-ROI 1 test,28.510015485101217,21.0
409,ern-ROI 1 test,23.603399404758584,32.0
410,ern-ROI 1 test,19.826398985202268,24.0
411,ern-ROI 1 test,19.546179930412638,18.0
412,ern-ROI 1 test,20.508013905608667,17.0
413,ern-ROI 1 test,25.393829047313453,17.0
414,ern-ROI 1 test,26.29352703215654,21.0
415,ern-ROI 1 test,18.681160697287645,6.0
416,ern-ROI 1 test,17.762895138711322,19.0
417,ern-ROI 1 test,13.091024973436497,27.0
418,ern-ROI 2 test,29.891048457100368,17.0
419,ern-ROI 2 test,19.049720313799114,8.0
420,ern-ROI 2 test,19.19079178811027,7.0
421,ern-ROI 2 test,22.704424819818655,13.0
422,ern-ROI 2 test,16.945652336090706,7.0
423,ern-ROI 2 test,11.391370277054458,6.0
424,ern-ROI 2 test,32.076617196149435,13.0
425,ern-ROI 2 test,25.769005330035423,16.0
426,ern-ROI 2 test,19.890694558588347,12.0
427,ern-ROI 2 test,18.075160189739883,13.0
428,ern-ROI 2 test,27.09770580143518,29.0
429,ern-ROI 2 test,20.04919624663444,36.0
430,ern-ROI 2 test,39.1442234086861,22.0
431,ern-ROI 2 test,31.435282039129103,20.0
432,ern-ROI 2 test,20.93136651795048,13.0
433,ern-ROI 2 test,31.91384166036563,22.0
434,ern-ROI 2 test,31.366333509186013,16.0
435,ern-ROI 2 test,8.462817242505094,15.0
436,ern-ROI 2 test,23.71521989824051,14.0
437,ern-ROI 2 test,25.35516783796739,20.0
438,ern-ROI 2 test,13.409147058687577,8.0
439,ern-ROI 2 test,37.165181020228154,16.0
440,ern-ROI 2 test,22.06069494598477,48.0
441,ern-ROI 2 test,21.807530766575546,14.0
442,ern-ROI 2 test,34.666246634613536,21.0
443,ern-ROI 2 test,30.25098282811989,32.0
444,ern-ROI 2 test,23.51490389826293,24.0
445,ern-ROI 2 test,22.887565573765134,18.0
446,ern-ROI 2 test,23.983096841356584,17.0
447,ern-ROI 2 test,29.744786373741583,17.0
448,ern-ROI 2 test,29.958426436763833,21.0
449,ern-ROI 2 test,21.464576905615207,6.0
450,ern-ROI 2 test,21.620275470593086,19.0
451,ern-ROI 2 test,15.706167793827063,27.0
452,pe-ROI 3 test,35.51033716208726,17.0
453,pe-ROI 3 test,22.686805070597185,8.0
454,pe-ROI 3 test,17.596195943473585,7.0
455,pe-ROI 3 test,27.927579018786645,13.0
456,pe-ROI 3 test,30.426813282076687,7.0
457,pe-ROI 3 test,27.21202588419656,6.0
458,pe-ROI 3 test,34.149438612769906,13.0
459,pe-ROI 3 test,22.828650580076992,16.0
460,pe-ROI 3 test,31.77895270456454,12.0
461,pe-ROI 3 test,11.708669175788044,13.0
462,pe-ROI 3 test,31.49176030615458,29.0
463,pe-ROI 3 test,25.2846658087677,36.0
464,pe-ROI 3 test,27.92894176516375,22.0
465,pe-ROI 3 test,28.24025679499811,20.0
466,pe-ROI 3 test,30.148170787724673,13.0
467,pe-ROI 3 test,20.385888231690785,22.0
468,pe-ROI 3 test,24.714783445361768,16.0
469,pe-ROI 3 test,19.633186527523787,15.0
470,pe-ROI 3 test,23.94641501660591,14.0
471,pe-ROI 3 test,31.127310975806118,20.0
472,pe-ROI 3 test,19.043515547586015,8.0
473,pe-ROI 3 test,37.589523723973876,16.0
474,pe-ROI 3 test,28.859172734392043,48.0
475,pe-ROI 3 test,14.84161723544561,14.0
476,pe-ROI 3 test,51.31234986677623,21.0
477,pe-ROI 3 test,20.473171390217647,32.0
478,pe-ROI 3 test,30.70013147741047,24.0
479,pe-ROI 3 test,24.807323616311876,18.0
480,pe-ROI 3 test,25.669057634859698,17.0
481,pe-ROI 3 test,31.8463119443758,17.0
482,pe-ROI 3 test,26.81758629476035,21.0
483,pe-ROI 3 test,16.898250438738003,6.0
484,pe-ROI 3 test,16.410286299251972,19.0
485,pe-ROI 3 test,22.762989487506463,27.0
486,pe-ROI 4 test,44.08587664782193,17.0
487,pe-ROI 4 test,26.643752481073765,8.0
488,pe-ROI 4 test,17.99153934512565,7.0
489,pe-ROI 4 test,37.046403921664734,13.0
490,pe-ROI 4 test,37.184664586083784,7.0
491,pe-ROI 4 test,29.036437624863293,6.0
492,pe-ROI 4 test,39.59646810095198,13.0
493,pe-ROI 4 test,27.574738393728758,16.0
494,pe-ROI 4 test,36.9976441259837,12.0
495,pe-ROI 4 test,21.29791733085023,13.0
496,pe-ROI 4 test,37.11276003345381,29.0
497,pe-ROI 4 test,29.772831534036573,36.0
498,pe-ROI 4 test,26.46965506577931,22.0
